directory,scl_file,notes,period,just,limit,description,tones,reference
xenharmonikon,xen16-mclaren-carlos-gamma.scl,1,35.1,False,0,Wendy Carlos' Gamma scale,35.1,"B. McLaren, More About Non-Octave Scales, Xenharmonikon 16 (1995), p.47"
xenharmonikon,xen16-mclaren-carlos-beta.scl,1,63.8,False,0,Wendy Carlos' Beta scale,63.8,"B. McLaren, More About Non-Octave Scales, Xenharmonikon 16 (1995), p.47"
xenharmonikon,xen16-mclaren-carlos-alpha.scl,1,78.0,False,0,Wendy Carlos' Alpha scale,78.0,"B. McLaren, More About Non-Octave Scales, Xenharmonikon 16 (1995), p.46"
xenharmonikon,xen14-mclaren-nonoctave-e-pi.scl,1,85.641143,False,0,(e to the pi)th root of pi non-octave scale,85.641143,"B. McLaren, The Uses and Characteristics of Non-Octave Scales, Xenharmonikon 14 (1993), p.14"
database-of-musical-scales,Congo_Horn.scl,2,468.0,False,0,Measured scale M0228 in DaMuSc,213.0 468.0,"R. Brandel. The Music of Central Africa: An Ethnomusicological Study: Former French Equatorial Africa the Former Belgian Congo, Ruanda-Urundi Uganda, Tanganyika. Springer Science and Business Media, 1967"
xenharmonikon,xen18-erlich-father-02.scl,2,1185.9,False,0,"1L 1s MOS for Father, L=738.5, s=447.4",738.5 1185.9,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.186"
xenharmonikon,xen18-erlich-dominant-02.scl,2,1195.23,False,0,"1L 1s MOS for Dominant, L=699.35, s=495.88",699.35 1195.23,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.185"
xenharmonikon,xen18-erlich-hedgehog-02.scl,2,1196.9,False,0,"2L MOS for Hedgehog, L=598.45",598.45 1196.90,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.187"
xenharmonikon,xen18-erlich-pajara-02.scl,2,1196.9,False,0,"2L MOS for Pajara, L=598.45",598.45 1196.90,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.194"
xenharmonikon,xen18-erlich-porcupine-02.scl,2,1196.91,False,0,"1L 1s MOS for Porcupine, L=1034.59, s=162.32",162.32 1196.91,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.196"
xenharmonikon,xen18-erlich-beatles-02.scl,2,1197.1,False,0,"1L 1s MOS for Beatles, L=842.38, s=354.72",354.72 1197.10,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.183"
xenharmonikon,xen18-erlich-superpyth-02.scl,2,1197.6,False,0,"1L 1s MOS for Superpyth, L=708.17, s=489.43",489.43 1197.60,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.198"
xenharmonikon,xen18-erlich-passion-02.scl,2,1198.31,False,0,"1L 1s MOS for Passion, L=1099.91, s=98.40",1099.91 1198.31,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.195"
xenharmonikon,xen18-erlich-sensisept-02.scl,2,1198.39,False,0,"1L 1s MOS for Sensisept, L=755.23, s=443.16",443.16 1198.39,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.197"
xenharmonikon,xen18-erlich-doublewide-02.scl,2,1198.56,False,0,"2L MOS for Doublewide, L=599.28",599.28 1198.56,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.185"
xenharmonikon,xen18-erlich-myna-02.scl,2,1198.83,False,0,"1L 1s MOS for Myna, L=888.94, s=309.89",309.89 1198.83,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.191"
xenharmonikon,xen18-erlich-tetracot-02.scl,2,1199.03,False,0,"1L 1s MOS for Tetracot, L=1022.92, s=176.11",1022.92 1199.03,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.198"
xenharmonikon,xen18-erlich-srutal-02.scl,2,1199.12,False,0,"2L MOS for Srutal, L=599.56",599.56 1199.12,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.198"
xenharmonikon,xen18-erlich-orwell-02.scl,2,1199.53,False,0,"1L 1s MOS for Orwell, L=928.04, s=271.49",928.04 1199.53,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.194"
xenharmonikon,xen18-erlich-sensipent-02.scl,2,1199.59,False,0,"1L 1s MOS for Sensipent, L=756.60, s=442.99",442.99 1199.59,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.197"
