RefID,Authors,Year,Title,Reference_Full,Measurement device(s),Notes on the inclusion of scales in the database,doi,crossref_title,crossref_authors,crossref_year,crossref_journal,crossref_volume,crossref_issue,crossref_page,crossref_publisher,crossref_type,best_title,best_authors,best_year,best_reference
1,Hewitt,2013,Musical Scales of the World,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",,,,,,,,,,,,,Musical Scales of the World,Hewitt,2013,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013"
2,Rechberger,2018,Scales and Modes around the World,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",,"Many scales were omitted that were identical to those in Ref 1. There is a chapter devoted to ancient Greek scales. There is a lot of information here, but I decided that the previous inclusion of diatonic modes is sufficient. It might be worthwhile going back over this some day to include all of the hyper- and hypo- versions of the modes, where alternative types of pythagorean tunings are used. After reading the sources in the bibliography (see David Monroe, The Modes of Ancient Greek Music), it seems that I am right to be skeptical - the use of this extended set of modes seems to be hypothetical. I also do not include the section on modes where the author seems to simply be enumerating circular permutants of scales. Reports of scales in Western staff notation are ignored if there is no tuning system specified. Sometimes there were extensions of Turkish scales above and below the octave - these were only included as new scales if there were differences between the notes in the upper and lower octaves. Many of the Turkish scales were duplicates, and occasionally the information was confusing. It would be good to eventually get a better source for these.",,,,,,,,,,,Scales and Modes around the World,Rechberger,2018,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018"
3,Ellis,1885,On the Musical Scales of Various Nations,"A. J. Ellis. On the Musical Scales of Various Nations. Journal of the Society of arts, 1885",,"Upon reading that a note is a  'mere grace note', we do not include this note in the scale; this was encountered twice. In many instances the 'tempered' version of recorded scales are given. I ignore these as they appear to be imposed by the author. Any other attempts at guesswork were likewise ignored. For some tunings, it was difficult to read the origin of the instrument. Typically this is true for museum specimens. These cases were ignored. I could not read some pages (Western Africa) in the scan that I have access to. This source contained a lot of instrument tunings that only consisted of exact just-tuned intervals (90 cents, 204 cents, etc), and the source is not clear on how these numbers were obtained; in these cases I declined to record them as they appear to be guessed. Reports of non-Western scales converted to Western staff notation are ignored if there is no tuning system specified.",,,,,,,,,,,On the Musical Scales of Various Nations,Ellis,1885,"A. J. Ellis. On the Musical Scales of Various Nations. Journal of the Society of arts, 1885"
4,Wachsmann,1950,An equal-stepped tuning in a ganda harp,"K. P. Wachsmann. An equal-stepped tuning in a ganda harp. Nature, 165(4184):40-41, 1950. doi: 10.1038/165040a0",Stroboconn,,10.1038/165040a0,An Equal-Stepped Tuning in a Ganda Harp,"WACHSMANN, K. P.",1950,Nature,165,4184,40-41,Springer Science and Business Media LLC,journal-article,An Equal-Stepped Tuning in a Ganda Harp,"Wachsmann, K. P.",1950,"Wachsmann, K. P. (1950). An Equal-Stepped Tuning in a Ganda Harp. Nature, 165(4184):40-41."
5,Kubik,1964,Harp music of the azande and related peoples in the Central African Republic,"Gerhard Kubik. Harp music of the azande and related peoples in the central african republic: (part i horizontal harp playing). Afr. Music, 3(3):37-76, 1964",Stroboconn,"Despite noting in the text that the octave, the final interval leading to the octave is not reported. In this case I assume that the octave is perfect, and insert the missing interval.",10.21504/amj.v3i3.1034,Harp music of the Azande and related peoples in the Central African Republic (Part 1 - Horizontal harp playing),"Kubik, Gerhard",1964,African Music: Journal of the African Music Society,3,3,37-76,Rhodes University,journal-article,Harp music of the Azande and related peoples in the Central African Republic (Part 1 - Horizontal harp playing),"Kubik, Gerhard",1964,"Kubik, Gerhard (1964). Harp music of the Azande and related peoples in the Central African Republic (Part 1 - Horizontal harp playing). African Music: Journal of the African Music Society, 3(3):37-76."
6,Brandel,1967,The music of Central Africa,"R. Brandel. The Music of Central Africa: An Ethnomusicological Study: Former French Equatorial Africa the Former Belgian Congo, Ruanda-Urundi Uganda, Tanganyika. Springer Science and Business Media, 1967",Monochord,,,,,,,,,,,,The music of Central Africa,Brandel,1967,"R. Brandel. The Music of Central Africa: An Ethnomusicological Study: Former French Equatorial Africa the Former Belgian Congo, Ruanda-Urundi Uganda, Tanganyika. Springer Science and Business Media, 1967"
7,Kunst,1967,Music in New Guinea,"J. Kunst. Music in New Guinea. Brill, 1967",Not mentioned clearly,,10.1007/978-94-017-6083-6,Music in New Guinea,"Kunst, Jaap",1967,,,,,Springer Netherlands,book,Music in New Guinea,"Kunst, Jaap",1967,"Kunst, Jaap (1967). Music in New Guinea. Springer Netherlands."
8,"Rouget, Schwarz",1969,Sur les xylophones equiheptaphoniques de malink,"Gilbert Rouget and J. Schwarz. Sur les xylophones quiheptaphoniques des malink. Rev. Musicol., 55(1):47-77, 1969. doi: 10.2307/927751",Stroboconn,,10.2307/927751,Sur les xylophones equiheptaphoniques des Malinke,"Rouget, Gilbert; Schwarz, J.",1969,Revue de musicologie,55,1,47,JSTOR,journal-article,Sur les xylophones equiheptaphoniques des Malinke,"Rouget, Gilbert; Schwarz, J.",1969,"Rouget, Gilbert; Schwarz, J. (1969). Sur les xylophones equiheptaphoniques des Malinke. Revue de musicologie, 55(1):47."
9,Tracey,1970,The matepe mbira music of rhodesia,"A. Tracey. The matepe mbira music of rhodesia. Afr. Music, 4(4):37-61, 1970. doi: 10.21504/amj.v4i4.1681",Not mentioned clearly,,10.21504/amj.v4i4.1681,The Matepe mbira music of Rhodesia,"Tracey, Andrew",1970,African Music: Journal of the African Music Society,4,4,37-61,Rhodes University,journal-article,The Matepe mbira music of Rhodesia,"Tracey, Andrew",1970,"Tracey, Andrew (1970). The Matepe mbira music of Rhodesia. African Music: Journal of the African Music Society, 4(4):37-61."
10,Tracey,1971,The nyanga panpipe dance,"A. Tracey. The nyanga panpipe dance. Afr. Music, 5(1):73-89, 1971. doi: 10.21504/amj.v5i1.1152",Not mentioned clearly,,10.21504/amj.v5i1.1152,The nyanga panpipe dance,"Tracey, Andrew",1971,African Music: Journal of the African Music Society,5,1,73-89,Rhodes University,journal-article,The nyanga panpipe dance,"Tracey, Andrew",1971,"Tracey, Andrew (1971). The nyanga panpipe dance. African Music: Journal of the African Music Society, 5(1):73-89."
